Set Id (Dimension Set.Csv),Dim Name 1,Dim Value 1,Dim Name 2,Dim Value 2,Dim Name 3,Dim Value 3,Dim Name 4,Dim Value 4,Dim Name 5,Dim Value 5,Dim Name 6,Dim Value 6,Measure Id (Measure.Csv),Name,Description,Source Name,Value,Result Name,Set Id,Measure Id
8336,DX,515,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,169,name=COUNT,8336,17
8337,DX,71537,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8337,17
8338,DX,728.82,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,9,name=COUNT,8338,17
8339,DX,141.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,7,name=COUNT,8339,17
8340,DX,70211,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,14,name=COUNT,8340,17
8341,DX,331,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,47,name=COUNT,8341,17
8342,DX,988.8,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8342,17
8343,DX,774,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8343,17
8344,DX,99.49,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8344,17
8345,DX,308,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,98,name=COUNT,8345,17
8346,DX,100.81,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8346,17
8347,DX,237.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8347,17
8348,DX,79502,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8348,17
8349,DX,V10.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,16,name=COUNT,8349,17
8350,DX,388.71,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,106,name=COUNT,8350,17
8351,DX,627.8,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,28,name=COUNT,8351,17
8352,DX,72982,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,4,name=COUNT,8352,17
8353,DX,44102,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8353,17
8354,DX,7051,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,4,name=COUNT,8354,17
8355,DX,307.2,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,73,name=COUNT,8355,17
8356,DX,812.12,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,4,name=COUNT,8356,17
